Date,AAPL,GOOG,MSFT,META,SPY,QQQ
1/2/1990,0.26307788491249084,,0.3813900947570801,,,
1/3/1990,0.26484331488609314,,0.3835393488407135,,,
1/4/1990,0.26572689414024353,,0.39481982588768005,,,
1/5/1990,0.26660963892936707,,0.38515064120292664,,,
1/8/1990,0.2683751583099365,,0.39105913043022156,,,
1/9/1990,0.26572689414024353,,0.38998496532440186,,,
1/10/1990,0.2542504072189331,,0.3792416751384735,,,
1/11/1990,0.24365651607513428,,0.37172114849090576,,,
1/12/1990,0.24365651607513428,,0.37010958790779114,,,
1/15/1990,0.24189098179340363,,0.37010958790779114,,,
1/16/1990,0.24630466103553772,,0.3813900947570801,,,
1/17/1990,0.23482804000377655,,0.3760189414024353,,,
1/18/1990,0.2286488264799118,,0.4082487225532532,,,
1/19/1990,0.24189098179340363,,0.4044886827468872,,,
1/22/1990,0.23482804000377655,,0.38998496532440186,,,
1/23/1990,0.23835912346839905,,0.3856879770755768,,,
1/24/1990,0.24012459814548492,,0.38998496532440186,,,
1/25/1990,0.24100816249847412,,0.38998496532440186,,,
1/26/1990,0.23129713535308838,,0.38998496532440186,,,
1/29/1990,0.23482804000377655,,0.39320820569992065,,,
1/30/1990,0.24012459814548492,,0.39213401079177856,,,
1/31/1990,0.24012459814548492,,0.39750534296035767,,,
2/1/1990,0.23747648298740387,,0.4028775095939636,,,
2/2/1990,0.24189098179340363,,0.4028775095939636,,,
2/5/1990,0.2471875250339508,,0.4050258696079254,,,
2/6/1990,0.24542203545570374,,0.4039517343044281,,,
2/7/1990,0.23482804000377655,,0.4007284343242645,,,
2/8/1990,0.2330627292394638,,0.4050258696079254,,,
2/9/1990,0.24189098179340363,,0.4061000347137451,,,
2/12/1990,0.24012459814548492,,0.4071744680404663,,,
2/13/1990,0.24365651607513428,,0.4071744680404663,,,
2/14/1990,0.24189098179340363,,0.4082487225532532,,,
2/15/1990,0.24189098179340363,,0.41684362292289734,,,
2/16/1990,0.2391270250082016,,0.42114120721817017,,,
2/20/1990,0.2373557835817337,,0.43081051111221313,,,
2/21/1990,0.24089810252189636,,0.41308361291885376,,,
2/22/1990,0.23381341993808746,,0.41415783762931824,,,
2/23/1990,0.23558470606803894,,0.4189920723438263,,,
2/26/1990,0.24089810252189636,,0.42651259899139404,,,
2/27/1990,0.2373557835817337,,0.42114120721817017,,,
2/28/1990,0.24089810252189636,,0.4243641495704651,,,
3/1/1990,0.24267026782035828,,0.42973533272743225,,,
3/2/1990,0.2391270250082016,,0.44585067,,,
3/5/1990,0.2444414645433426,,0.452297181,,,
3/6/1990,0.24975502490997314,,0.4490734934806824,,,
3/7/1990,0.2506405711174011,,0.44155365228652954,,,
3/8/1990,0.26038312911987305,,0.4565940499305725,,,
3/9/1990,0.26126861572265625,,0.45766812562942505,,,
3/12/1990,0.25949740409851074,,0.4651888906955719,,,
3/13/1990,0.26126861572265625,,0.4565940499305725,,,
3/14/1990,0.2621542513370514,,0.46357741951942444,,,
3/15/1990,0.26038312911987305,,0.4770064651966095,,,
3/16/1990,0.285181463,,0.4898987412452698,,,
3/19/1990,0.30023741722106934,,0.5006422400474548,,,
3/20/1990,0.29315245151519775,,0.4856013357639313,,,
3/21/1990,0.2949237525463104,,0.48667532205581665,,,
3/22/1990,0.28872379660606384,,0.4780806601047516,,,
3/23/1990,0.2993517518043518,,0.4737836420536041,,,
3/26/1990,0.2993517518043518,,0.4791555404663086,,,
3/27/1990,0.2975805997848511,,0.48345279693603516,,,
3/28/1990,0.2922670245170593,,0.4770064651966095,,,
3/29/1990,0.2913813889026642,,0.4748579263687134,,,
3/30/1990,0.285181463,,0.4759320616722107,,,
4/2/1990,0.285181463,,0.4791555404663086,,,
4/3/1990,0.2958093583583832,,0.49849388003349304,,,
4/4/1990,0.2922670245170593,,0.5027907490730286,,,
4/5/1990,0.285181463,,0.4920472204685211,,,
4/6/1990,0.28252464532852173,,0.49097302556037903,,,
4/9/1990,0.2913813889026642,,0.4920472204685211,,,
4/10/1990,0.2922670245170593,,0.507087767,,,
4/11/1990,0.30112290382385254,,0.5199801325798035,,,
4/12/1990,0.3064373731613159,,0.518905759,,,
4/16/1990,0.3099798858165741,,0.5221289396286011,,,
4/17/1990,0.3064373731613159,,0.5328723788261414,,,
4/18/1990,0.3064373731613159,,0.5210545659065247,,,
4/19/1990,0.285181463,,0.511385441,,,
4/20/1990,0.285181463,,0.5092372298240662,,,
4/23/1990,0.2816389799118042,,0.507087767,,,
4/24/1990,0.27455344796180725,,0.49849388003349304,,,
4/25/1990,0.27455344796180725,,0.49849388003349304,,,
4/26/1990,0.27543890476226807,,0.4931219816207886,,,
4/27/1990,0.27721020579338074,,0.48345279693603516,,,
4/30/1990,0.27898216247558594,,0.49849388003349304,,,
5/1/1990,0.2807534635066986,,0.49097302556037903,,,
5/2/1990,0.2816389799118042,,0.5006422400474548,,,
5/3/1990,0.2834101617336273,,0.507087767,,,
5/4/1990,0.2834101617336273,,0.5307236909866333,,,
5/7/1990,0.29403817653656006,,0.550061822,,,
5/8/1990,0.2958093583583832,,0.5393186211585999,,,
5/9/1990,0.2966949939727783,,0.5393186211585999,,,
5/10/1990,0.29315245151519775,,0.5543588995933533,,,
5/11/1990,0.30200856924057007,,0.56295377,,,
5/14/1990,0.2958093583583832,,0.5651020407676697,,,
5/15/1990,0.2958093583583832,,0.5565081238746643,,,
5/16/1990,0.2949237525463104,,0.5565081238746643,,,
5/17/1990,0.29403817653656006,,0.5565081238746643,,,
5/18/1990,0.2816389799118042,,0.586589515,,,
